Date,???,Ri_0050
2025/3/3,188.05,-0.023116883
2025/3/4,186.8,-0.006647168
2025/3/5,189.25,0.013115632
2025/3/6,188.1,-0.006076618
2025/3/7,186.35,-0.009303562
2025/3/10,185.25,-0.005902871
2025/3/11,182,-0.01754386
2025/3/12,182.8,0.004395604
2025/3/13,181.1,-0.009299781
2025/3/14,180.5,-0.003313087
2025/3/17,182.05,0.008587258
2025/3/18,182.8,0.004119747
2025/3/19,180.55,-0.012308534
2025/3/20,184.45,0.021600665
2025/3/21,182.95,-0.008132285
2025/3/24,182.75,-0.001093195
2025/3/25,184.65,0.010396717
2025/3/26,184.5,-0.000812348
2025/3/27,181,-0.01897019
2025/3/28,179.2,-0.009944751
2025/3/31,172.75,-0.035993304
2025/4/1,176.3,0.020549928
2025/4/2,176,-0.001701645
2025/4/7,158.4,-0.1
2025/4/8,153.25,-0.032512626
,,
