Date,???,Ri_2883
2025/3/3,18.3,0.002739726
2025/3/4,18.2,-0.005464481
2025/3/5,18.3,0.005494505
2025/3/6,18.35,0.00273224
2025/3/7,18.35,0
2025/3/10,18.65,0.016348774
2025/3/11,18.45,-0.010723861
2025/3/12,18.55,0.005420054
2025/3/13,18.3,-0.013477089
2025/3/14,18.1,-0.010928962
2025/3/17,18.1,0
2025/3/18,18.4,0.016574586
2025/3/19,18.4,0
2025/3/20,18.45,0.002717391
2025/3/21,18.55,0.005420054
2025/3/24,18.55,0
2025/3/25,18.35,-0.010781671
2025/3/26,18.4,0.002724796
2025/3/27,18.25,-0.008152174
2025/3/28,17.75,-0.02739726
2025/3/31,17.15,-0.033802817
2025/4/1,17.45,0.017492711
2025/4/2,17.9,0.025787966
2025/4/7,16.15,-0.097765363
2025/4/8,15.1,-0.06501548
